time,low,high,open,close,volume
2024-11-22 11:22:00,0.4718,0.4719,0.4719,0.4718,288.14
2024-11-22 11:23:00,0.4709,0.4717,0.4717,0.4709,402.58
2024-11-22 11:24:00,0.4714,0.4714,0.4714,0.4714,282.57
2024-11-22 11:25:00,0.4713,0.4719,0.4713,0.4719,1907.89
2024-11-22 11:26:00,0.4706,0.4714,0.4714,0.4713,12249.34
2024-11-22 11:31:00,0.4707,0.4714,0.4707,0.4714,2000.75
2024-11-22 11:32:00,0.4659,0.4708,0.4708,0.4659,18926.98
2024-11-22 11:35:00,0.465,0.465,0.465,0.465,14.0
2024-11-22 11:36:00,0.4601,0.4669,0.4643,0.4628,27559.05
2024-11-22 11:40:00,0.4608,0.4629,0.4626,0.4617,1908.5
2024-11-22 11:41:00,0.4601,0.4643,0.4629,0.4608,8429.12
2024-11-22 11:42:00,0.4624,0.4629,0.4628,0.4624,282.68
2024-11-22 11:43:00,0.4628,0.4629,0.4628,0.4629,284.73
2024-11-22 11:46:00,0.4612,0.4654,0.463,0.4626,897.68
2024-11-22 11:48:00,0.4627,0.4629,0.4627,0.4629,311.61
2024-11-22 11:52:00,0.4611,0.4625,0.4625,0.4611,377.37
2024-11-22 11:54:00,0.4612,0.4665,0.4616,0.4626,19874.88
2024-11-22 11:55:00,0.4624,0.4642,0.4625,0.4642,1416.3
2024-11-22 11:59:00,0.4621,0.4636,0.4629,0.4621,1771.28
2024-11-22 12:02:00,0.4614,0.4627,0.4622,0.4623,2380.22
2024-11-22 12:03:00,0.4616,0.4626,0.4619,0.4625,978.16
2024-11-22 12:04:00,0.4617,0.4639,0.4627,0.4639,7219.59
2024-11-22 12:06:00,0.4628,0.4675,0.464,0.4646,1148.48
2024-11-22 12:11:00,0.4652,0.4665,0.4665,0.4665,7983.75
2024-11-22 12:16:00,0.4665,0.4676,0.4666,0.4665,977.89
2024-11-22 12:17:00,0.4665,0.4666,0.4665,0.4666,1310.72
2024-11-22 12:18:00,0.4665,0.4667,0.4666,0.4667,3454.75
2024-11-22 12:20:00,0.4672,0.4673,0.4672,0.4673,555.49
2024-11-22 12:28:00,0.4665,0.467,0.4665,0.467,5349.81
2024-11-22 12:29:00,0.4665,0.4668,0.4665,0.4668,2725.13
2024-11-22 12:30:00,0.4667,0.4671,0.4667,0.4671,2155.3
2024-11-22 12:31:00,0.4668,0.4671,0.4671,0.4668,68.09
2024-11-22 12:33:00,0.4651,0.4672,0.4671,0.4651,9633.49
2024-11-22 12:35:00,0.4665,0.4675,0.4665,0.4666,12384.13
2024-11-22 12:37:00,0.4654,0.4654,0.4654,0.4654,109.0
2024-11-22 12:38:00,0.4669,0.469,0.468,0.469,630.72
2024-11-22 12:40:00,0.4656,0.4682,0.4661,0.4682,243.0
2024-11-22 12:46:00,0.4678,0.4682,0.4678,0.4682,29.64
2024-11-22 12:47:00,0.4652,0.4679,0.4652,0.4679,389.52
2024-11-22 12:51:00,0.4636,0.4656,0.4656,0.4648,6938.92
2024-11-22 12:59:00,0.4643,0.4667,0.465,0.4667,2162.18
2024-11-22 13:00:00,0.4635,0.4647,0.4639,0.4635,14068.73
2024-11-22 13:03:00,0.4635,0.4659,0.4659,0.4635,240.56
