time,low,high,open,close,volume
2024-11-19 20:03:00,0.72775,0.72968,0.72918,0.72968,377.23
2024-11-19 20:05:00,0.72894,0.73036,0.73036,0.72894,657.83
2024-11-19 20:12:00,0.73045,0.73102,0.73054,0.73102,6047.21
2024-11-19 20:15:00,0.728,0.7299,0.72974,0.728,3896.58
2024-11-19 20:17:00,0.72701,0.7283,0.72701,0.72706,2796.03
2024-11-19 20:20:00,0.727,0.727,0.727,0.727,4.0
2024-11-19 20:21:00,0.72409,0.726,0.726,0.72409,519.01
2024-11-19 20:23:00,0.724,0.7255,0.72408,0.724,11039.28
2024-11-19 20:24:00,0.72241,0.72396,0.72396,0.72241,2984.34
2024-11-19 20:25:00,0.72269,0.72519,0.72394,0.72269,1576.8
2024-11-19 20:29:00,0.72375,0.72498,0.72498,0.72375,2167.72
2024-11-19 20:30:00,0.72427,0.72427,0.72427,0.72427,1.34
2024-11-19 20:31:00,0.72,0.72223,0.72223,0.72,58.99
2024-11-19 20:32:00,0.72086,0.7227,0.72086,0.7225,2664.65
2024-11-19 20:34:00,0.71916,0.72129,0.72129,0.71916,6471.89
2024-11-19 20:35:00,0.71993,0.72028,0.71993,0.72022,24915.52
2024-11-19 20:36:00,0.72,0.72218,0.72011,0.72,19223.2
2024-11-19 20:37:00,0.72,0.72085,0.72,0.72,5661.8
2024-11-19 20:38:00,0.72,0.72054,0.72054,0.72,34.47
2024-11-19 20:39:00,0.72,0.72046,0.72,0.72,6435.59
2024-11-19 20:40:00,0.71802,0.72017,0.72015,0.71802,12266.37
2024-11-19 20:41:00,0.71629,0.71897,0.71801,0.71629,392.27
2024-11-19 20:42:00,0.7157,0.71725,0.71725,0.71704,1616.32
2024-11-19 20:43:00,0.7142,0.71669,0.71629,0.71669,12540.0
2024-11-19 20:44:00,0.7168,0.71706,0.7168,0.71703,3455.55
2024-11-19 20:45:00,0.7152,0.71721,0.71721,0.71547,5693.31
2024-11-19 20:46:00,0.715,0.71596,0.71546,0.715,880.76
2024-11-19 20:47:00,0.714,0.71571,0.71571,0.71418,1102.49
2024-11-19 20:48:00,0.71393,0.71401,0.71401,0.71393,929.28
2024-11-19 20:49:00,0.7122,0.71342,0.71342,0.7122,1772.71
2024-11-19 20:50:00,0.71133,0.71213,0.71212,0.71213,1330.39
2024-11-19 20:51:00,0.71075,0.71186,0.7116,0.71186,12.89
2024-11-19 20:52:00,0.71,0.71169,0.71168,0.71,3269.1
2024-11-19 20:53:00,0.71061,0.71064,0.71062,0.71064,58.71
2024-11-19 20:54:00,0.70895,0.71009,0.71009,0.70949,1443.01
2024-11-19 20:55:00,0.70863,0.70905,0.70905,0.70863,6.0
2024-11-19 20:56:00,0.70898,0.71125,0.70898,0.71059,1905.73
2024-11-19 20:57:00,0.712,0.713,0.712,0.713,5.36
2024-11-19 20:58:00,0.71255,0.71399,0.71255,0.71399,556.04
2024-11-19 20:59:00,0.714,0.71524,0.714,0.71481,51.67
2024-11-19 21:00:00,0.71413,0.71554,0.71413,0.71554,3270.03
2024-11-19 21:01:00,0.71348,0.7152,0.71519,0.71388,2331.61
2024-11-19 21:02:00,0.71294,0.71533,0.71294,0.71533,2244.22
