product_id,start,close,Actual,Predicted (Linear Regression)
KARRAT-USD,2024-09-14 07:25:00+00:00,0.3155,0.00031695721077651027,0.00039210830329825663
KARRAT-USD,2024-09-14 07:30:00+00:00,0.3157,-0.004751346214760853,0.00036088406128117773
KARRAT-USD,2024-09-14 07:35:00+00:00,0.3157,-0.004751346214760853,0.00033763947869812816
KARRAT-USD,2024-09-14 07:40:00+00:00,0.3149,-0.0022229279136234802,0.0003640526896308875
KARRAT-USD,2024-09-14 07:45:00+00:00,0.3156,-0.004435994930291547,0.00034352327799935974
KARRAT-USD,2024-09-14 07:50:00+00:00,0.3156,-0.004435994930291547,0.00032778245552383007
KARRAT-USD,2024-09-14 07:55:00+00:00,0.3142,0.003182686187141951,0.00040554670523663863
KARRAT-USD,2024-09-14 08:00:00+00:00,0.3142,0.0015913430935709755,0.00045521670420033686
KARRAT-USD,2024-09-14 08:05:00+00:00,0.3142,0.0015913430935709755,0.0004917861502597301
KARRAT-USD,2024-09-14 08:10:00+00:00,0.3142,-0.00413749204328443,0.00051483368366238
KARRAT-USD,2024-09-14 08:15:00+00:00,0.3142,-0.00413749204328443,0.0005290330330576041
KARRAT-USD,2024-09-14 08:20:00+00:00,0.3152,-0.004441624365482097,0.00045769057022033164
KARRAT-USD,2024-09-14 08:25:00+00:00,0.3147,-0.0028598665395613487,0.00042407150685059447
KARRAT-USD,2024-09-14 08:30:00+00:00,0.3147,-0.006990784874483571,0.00039228166895752107
KARRAT-USD,2024-09-14 08:35:00+00:00,0.3129,-0.0012783636944711137,0.00047485641683560223
KARRAT-USD,2024-09-14 08:40:00+00:00,0.3129,-0.0012783636944711137,0.0004971433121245945
KARRAT-USD,2024-09-14 08:45:00+00:00,0.3138,-0.005417463352453903,0.0004603552962793431
KARRAT-USD,2024-09-14 08:50:00+00:00,0.3138,-0.007329509241555208,0.0004363023302999739
KARRAT-USD,2024-09-14 08:55:00+00:00,0.3125,-0.002239999999999931,0.0004923547420208289
KARRAT-USD,2024-09-14 09:00:00+00:00,0.3125,-0.0044800000000000395,0.00048314929825881987
KARRAT-USD,2024-09-14 09:05:00+00:00,0.3125,-0.006719999999999971,0.00047959730118522846
KARRAT-USD,2024-09-14 09:10:00+00:00,0.3121,-0.0060877923742390675,0.00048787683055270445
KARRAT-USD,2024-09-14 09:15:00+00:00,0.3115,-0.004173354735152563,0.0005134990598492049
