product_id,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
00-USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4316109422492467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A8-USD,0.0,1.0804321728691453,0.0,1.3205282112845182,0.0,1.1764705882352788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6646848989298604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAVE-EUR,0.0,1.51078631157333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAVE-USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0249839846252367,0.0,0.0,0.0,0.0,0.0
ABT-USD,4.108209077208683,2.892925724104132,2.685635554488015,0.0,5.169029553715509,0.0,2.4216462597193793,4.833228234793836,1.3333333333333295,0.0,1.1419939577039224,0.0,0.0,2.2716809705006455,2.9416773769068763,3.6122291531922555,1.3920960612258293,15.747921190001776,7.195692379216666,2.0474269649187056,4.187866483687637,0.0,1.8319646241314047,1.2444444444444485
ACX-USD,0.0,0.0,1.12055641421948,0.0,0.0,0.0,0.0,0.0,0.0,2.0496649586125497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AERGO-USD,0.0,0.0,0.0,0.0,0.0,0.0,1.0689990281826918,0.0,0.0,0.0,0.0,1.1571841851494626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEO-USD,0.0,1.377777777777784,0.0,1.0407239819004586,0.0,0.0,0.0,0.0,0.0,0.0,1.107011070110702,1.081916537867074,0.0,3.8367624454054914,1.4418999151823497,0.0,0.0,0.0,1.0931558935361068,0.0,1.2287334593572685,1.019051838723956,0.0,0.0
ALEPH-USD,3.7735849056603805,0.0,0.0,0.0,1.8365472910927474,3.4934906898951468,1.2641673931996573,0.0,0.0,0.0,0.0,0.0,1.1210762331838575,11.159776909332706,0.0,1.2446146481570088,1.633802816901416,0.0,0.0,0.0,0.0,0.0,1.3812154696132608,17.390999238495453
ALICE-USD,0.0,1.3384321223709381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4354066985646052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003649635036487
ARKM-USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.260273972602747,0.0,0.0,0.0,0.0,0.0,1.3031161473087896,0.0,1.3325930038867309,1.3706140350877143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARPA-USD,1.2285012285012296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2195121951219523,1.0204081632653177,1.4598540145985484,0.0,1.010101010101004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM-USD,7.214403468613917,1.2987012987012918,8.345982890441315,2.7215693102347585,0.0,1.0684931506849356,0.0,1.0649627263045727,0.0,1.2303664921466104,5.783599782396701,6.442744122273112,9.705212378364557,6.7338108690195195,5.696042779214398,1.4315538323889094,3.8051029323039565,2.310305609298557,2.353934139899443,4.292641790379802,5.254877191851938,5.016659140191069,4.658356039689385,7.310401099086802
AURORA-USD,0.0,0.0,1.6949152542372898,1.7094017094016989,0.0,0.0,1.6666666666666683,0.0,0.0,0.0,0.0,0.0,0.0,1.6806722689075646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVT-USD,2.8038229831951833,0.0,3.230328129977713,2.790697674418628,0.0,1.3824884792626844,0.0,0.0,0.0,0.0,1.0000000000000009,1.4999999999999902,1.913875598086126,0.0,0.0,0.0,1.0000000000000009,2.0000000000000018,16.39880598637929,6.3434027516226585,12.239466541359041,4.319674578295272,2.164502164502157,5.351402833445777
AXL-USD,0.0,1.1428571428571466,0.0,0.0,0.0,0.0,1.649043303121853,2.869352869352879,0.0,0.0,0.0,0.0,0.0,1.0075566750629732,0.0,0.0,0.0,0.0,0.0,1.030796640366505,0.0,0.0,0.0,0.0
BCH-EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1108498883272688,0.0,0.0
BCH-USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387649111417673,0.0,1.0810810810810862,0.0,0.0
BIGTIME-USD,4.415435220458697,1.1974613818704358,5.431919614577299,2.31575248783052,2.442897044901532,0.0,0.0,0.0,0.0,0.0,0.0,1.8982204183577993,1.2837290459275916,5.154665756859495,1.0689432527441132,0.0,2.7687648712956823,2.027207255268063,1.0774065285705041,0.0,0.0,2.401531053216432,2.0607885462513744,0.0
BIT-USD,0.0,0.0,0.0,0.0,1.2222387837233544,0.0,0.0,0.0,1.0242506401566376,1.1695906432748384,0.0,0.0,0.0,0.0,0.0,2.5712263971905274,0.0,2.4793713663570003,9.730195557732461,6.419785220902336,1.5481171548117154,0.0,6.008880867187631,0.0
