product_id,start,close,Actual,Predicted (Random Forest)
KARRAT-USD,2024-09-14 07:25:00+00:00,0.3155,0.00031695721077651027,-0.0018306447845437008
KARRAT-USD,2024-09-14 07:30:00+00:00,0.3157,-0.004751346214760853,-0.0021051795396935355
KARRAT-USD,2024-09-14 07:35:00+00:00,0.3157,-0.004751346214760853,-0.0013654974732200023
KARRAT-USD,2024-09-14 07:40:00+00:00,0.3149,-0.0022229279136234802,-0.005072704246083232
KARRAT-USD,2024-09-14 07:45:00+00:00,0.3156,-0.004435994930291547,-0.004015200497557156
KARRAT-USD,2024-09-14 07:50:00+00:00,0.3156,-0.004435994930291547,-0.002721083948941886
KARRAT-USD,2024-09-14 07:55:00+00:00,0.3142,0.003182686187141951,-0.0017727490369069008
KARRAT-USD,2024-09-14 08:00:00+00:00,0.3142,0.0015913430935709755,-0.0008641187076876404
KARRAT-USD,2024-09-14 08:05:00+00:00,0.3142,0.0015913430935709755,-0.001924518173346382
KARRAT-USD,2024-09-14 08:10:00+00:00,0.3142,-0.00413749204328443,-0.0031840296186282364
KARRAT-USD,2024-09-14 08:15:00+00:00,0.3142,-0.00413749204328443,-0.0038569672765782635
KARRAT-USD,2024-09-14 08:20:00+00:00,0.3152,-0.004441624365482097,-0.00690936715354124
KARRAT-USD,2024-09-14 08:25:00+00:00,0.3147,-0.0028598665395613487,-0.003480125799956053
KARRAT-USD,2024-09-14 08:30:00+00:00,0.3147,-0.006990784874483571,-0.005160211223081697
KARRAT-USD,2024-09-14 08:35:00+00:00,0.3129,-0.0012783636944711137,-0.0037713722496984826
KARRAT-USD,2024-09-14 08:40:00+00:00,0.3129,-0.0012783636944711137,-0.002471052177978276
KARRAT-USD,2024-09-14 08:45:00+00:00,0.3138,-0.005417463352453903,-0.003925077081147914
KARRAT-USD,2024-09-14 08:50:00+00:00,0.3138,-0.007329509241555208,-0.0033452748534103798
KARRAT-USD,2024-09-14 08:55:00+00:00,0.3125,-0.002239999999999931,-0.0017860666475987838
KARRAT-USD,2024-09-14 09:00:00+00:00,0.3125,-0.0044800000000000395,-0.0026693453290173447
KARRAT-USD,2024-09-14 09:05:00+00:00,0.3125,-0.006719999999999971,-0.0034930033405957666
KARRAT-USD,2024-09-14 09:10:00+00:00,0.3121,-0.0060877923742390675,-0.0019512463547708837
KARRAT-USD,2024-09-14 09:15:00+00:00,0.3115,-0.004173354735152563,-0.003699846013399587
