time,low,high,open,close,volume
2024-11-26 12:15:00,0.4869,0.4875,0.4875,0.487,7931.33
2024-11-26 12:16:00,0.4889,0.4889,0.4889,0.4889,59.22
2024-11-26 12:18:00,0.4882,0.4921,0.489,0.4882,1275.19
2024-11-26 12:22:00,0.4872,0.4904,0.4893,0.4872,870.92
2024-11-26 12:23:00,0.4885,0.4908,0.49,0.4885,24.58
2024-11-26 12:24:00,0.4869,0.4887,0.4881,0.4869,1176.24
2024-11-26 12:25:00,0.4883,0.489,0.4883,0.489,195.97
2024-11-26 12:27:00,0.4881,0.4899,0.4885,0.4899,392.35
2024-11-26 12:33:00,0.4879,0.4897,0.4884,0.4897,242.72
2024-11-26 12:38:00,0.4881,0.4893,0.4884,0.489,23143.04
2024-11-26 12:41:00,0.4886,0.489,0.489,0.4886,1908.56
2024-11-26 12:44:00,0.486,0.4902,0.4889,0.4863,17820.86
2024-11-26 12:56:00,0.4845,0.4902,0.4854,0.4846,13839.98
2024-11-26 12:58:00,0.4847,0.4872,0.4847,0.485,557.77
2024-11-26 12:59:00,0.485,0.4879,0.485,0.4879,55.72
2024-11-26 13:02:00,0.4847,0.4854,0.4852,0.4847,1243.76
2024-11-26 13:06:00,0.4847,0.487,0.4847,0.487,3.55
2024-11-26 13:29:00,0.4847,0.4887,0.485,0.4862,23224.14
2024-11-26 13:47:00,0.4869,0.489,0.4869,0.489,30.3
2024-11-26 13:49:00,0.4866,0.4888,0.4872,0.4866,687.94
2024-11-26 13:54:00,0.4878,0.4898,0.489,0.4894,1038.22
2024-11-26 13:57:00,0.4894,0.4923,0.4894,0.4923,311.85
2024-11-26 13:59:00,0.4861,0.4916,0.4916,0.4866,9221.45
2024-11-26 14:03:00,0.4816,0.4867,0.4863,0.4862,51840.43
2024-11-26 14:12:00,0.4821,0.4849,0.4826,0.4828,9708.02
2024-11-26 14:13:00,0.4764,0.4842,0.483,0.4801,59743.97
2024-11-26 14:14:00,0.4761,0.4789,0.4786,0.4789,7869.4
2024-11-26 14:15:00,0.4773,0.479,0.4785,0.4773,802.37
2024-11-26 14:19:00,0.4733,0.478,0.477,0.4768,12432.96
2024-11-26 14:20:00,0.476,0.4769,0.4766,0.4769,311.36
2024-11-26 14:21:00,0.4751,0.4773,0.4768,0.4773,1056.19
2024-11-26 14:22:00,0.4746,0.4769,0.475,0.4769,760.78
2024-11-26 14:23:00,0.4731,0.4753,0.4746,0.4732,15148.96
2024-11-26 14:26:00,0.4753,0.4754,0.4754,0.4754,568.87
2024-11-26 14:29:00,0.4746,0.4776,0.4752,0.4747,3656.07
2024-11-26 14:34:00,0.4755,0.4805,0.4771,0.478,7737.68
2024-11-26 14:35:00,0.4782,0.4809,0.479,0.4796,1432.69
2024-11-26 14:37:00,0.4785,0.4803,0.4795,0.4785,5385.24
2024-11-26 14:38:00,0.478,0.4819,0.478,0.4819,906.78
2024-11-26 14:39:00,0.4802,0.4818,0.4802,0.4818,85.04
2024-11-26 14:41:00,0.4805,0.4806,0.4806,0.4805,52.15
2024-11-26 14:45:00,0.4802,0.4806,0.4802,0.4806,1895.46
2024-11-26 14:46:00,0.4774,0.4833,0.4812,0.4792,32047.56
2024-11-26 14:47:00,0.4805,0.4826,0.4805,0.4826,748.16
2024-11-26 14:48:00,0.4806,0.483,0.4824,0.483,839.48
2024-11-26 14:49:00,0.4815,0.482,0.4819,0.482,1428.58
2024-11-26 14:51:00,0.4817,0.4834,0.4821,0.4817,2372.07
2024-11-26 14:52:00,0.483,0.4877,0.483,0.4838,22520.78
2024-11-26 14:53:00,0.4829,0.4877,0.4829,0.4842,3697.53
2024-11-26 14:55:00,0.4814,0.4854,0.4841,0.4814,6077.36
2024-11-26 14:56:00,0.4813,0.4819,0.4813,0.4819,423.0
2024-11-26 14:59:00,0.4819,0.4842,0.4841,0.4826,3521.07
2024-11-26 15:02:00,0.4836,0.4847,0.484,0.4838,186.47
2024-11-26 15:07:00,0.4829,0.4863,0.4832,0.4829,2927.26
2024-11-26 15:10:00,0.4827,0.4878,0.4841,0.4878,3761.68
2024-11-26 15:13:00,0.4829,0.4878,0.4878,0.4829,1490.42
2024-11-26 15:16:00,0.481,0.4833,0.4833,0.4813,5382.06
2024-11-26 15:21:00,0.4775,0.4833,0.4833,0.4819,50808.48
2024-11-26 15:23:00,0.4753,0.4773,0.4773,0.4753,5906.77
2024-11-26 15:24:00,0.4765,0.4781,0.4775,0.478,1980.15
2024-11-26 15:26:00,0.4759,0.4777,0.4772,0.4759,472.96
2024-11-26 15:29:00,0.4759,0.479,0.478,0.4759,690.54
2024-11-26 15:31:00,0.4776,0.4782,0.4782,0.4776,678.08
2024-11-26 15:34:00,0.4776,0.478,0.4776,0.478,65.14
2024-11-26 15:35:00,0.478,0.4786,0.478,0.4786,1126.39
2024-11-26 15:38:00,0.4773,0.48,0.478,0.4775,10575.11
2024-11-26 15:39:00,0.4778,0.4809,0.4789,0.4784,10294.32
2024-11-26 15:40:00,0.478,0.4805,0.48,0.478,6930.24
2024-11-26 15:41:00,0.4766,0.484,0.4804,0.4793,60362.75
2024-11-26 15:42:00,0.48,0.4827,0.48,0.4827,87.14
2024-11-26 15:43:00,0.4819,0.4828,0.4823,0.4819,4242.98
2024-11-26 15:44:00,0.4819,0.4828,0.4827,0.4827,971.3
2024-11-26 15:45:00,0.48,0.4828,0.4824,0.4801,3945.97
2024-11-26 15:48:00,0.4805,0.4817,0.4817,0.4805,43.14
2024-11-26 15:50:00,0.4801,0.4825,0.4812,0.4824,3112.08
2024-11-26 15:51:00,0.476,0.4829,0.4829,0.476,50562.79
2024-11-26 15:54:00,0.4778,0.4797,0.4778,0.4796,5088.59
2024-11-26 16:04:00,0.478,0.4786,0.478,0.4786,48.2
2024-11-26 16:18:00,0.479,0.48,0.479,0.48,34.0
2024-11-26 16:19:00,0.481,0.483,0.481,0.483,12148.17
2024-11-26 16:21:00,0.484,0.485,0.484,0.485,681.34
2024-11-26 16:22:00,0.485,0.4885,0.485,0.4885,8002.94
2024-11-26 16:23:00,0.4885,0.49,0.4885,0.49,4540.23
2024-11-26 16:24:00,0.4907,0.4926,0.4907,0.4908,6719.23
2024-11-26 16:25:00,0.4906,0.4918,0.4907,0.4909,4879.85
2024-11-26 16:26:00,0.4849,0.4909,0.4909,0.4849,15585.42
2024-11-26 16:27:00,0.4803,0.4855,0.4848,0.4855,14525.9
2024-11-26 16:29:00,0.4811,0.483,0.4811,0.483,61.9
2024-11-26 16:31:00,0.479,0.485,0.481,0.485,3530.7
2024-11-26 16:35:00,0.4807,0.482,0.4808,0.4816,2204.6
2024-11-26 16:40:00,0.4792,0.4813,0.4813,0.4792,2068.25
2024-11-26 16:41:00,0.4815,0.4869,0.4839,0.4849,1655.28
2024-11-26 16:42:00,0.4821,0.4874,0.4821,0.4827,3183.28
2024-11-26 16:44:00,0.4834,0.4863,0.4861,0.4858,637.75
2024-11-26 16:45:00,0.4852,0.4855,0.4855,0.4852,242.15
2024-11-26 16:46:00,0.4848,0.4855,0.4853,0.4848,292.0
2024-11-26 16:47:00,0.483,0.486,0.4853,0.486,5941.01
2024-11-26 16:49:00,0.4837,0.4877,0.4856,0.4867,7412.89
2024-11-26 16:50:00,0.4842,0.4845,0.4845,0.4842,655.95
2024-11-26 16:52:00,0.4824,0.4843,0.4841,0.4824,433.55
2024-11-26 16:53:00,0.4822,0.4865,0.4822,0.485,5401.25
2024-11-26 16:56:00,0.4852,0.4853,0.4853,0.4852,28.55
2024-11-26 16:58:00,0.4846,0.4864,0.4852,0.4846,1182.69
2024-11-26 17:01:00,0.4854,0.4876,0.4854,0.4872,2250.22
2024-11-26 17:07:00,0.4863,0.4889,0.4872,0.4863,6849.81
2024-11-26 17:12:00,0.486,0.486,0.486,0.486,6.53
2024-11-26 17:15:00,0.4869,0.4912,0.4885,0.4869,2244.75
