time,low,high,open,close,volume
2024-11-30 21:10:00,240.56,240.69,240.62,240.65,71.64016126
2024-11-30 16:12:00,239.76,240.19,240.09,239.8,495.51332301
2024-11-30 16:13:00,239.67,239.91,239.76,239.9,991.9029009
2024-11-30 16:14:00,239.82,240.03,239.9,239.86,415.89307534
2024-11-30 16:15:00,239.43,239.85,239.85,239.45,420.87496479
2024-11-30 16:16:00,239.35,239.58,239.48,239.49,272.92287633
2024-11-30 16:17:00,239.38,239.55,239.49,239.55,400.29089955
2024-11-30 16:18:00,239.48,239.65,239.55,239.6,260.72428975
2024-11-30 16:19:00,239.51,239.7,239.6,239.61,352.52698532
2024-11-30 16:20:00,239.48,239.7,239.62,239.65,335.68919466
2024-11-30 16:21:00,239.55,239.73,239.65,239.69,354.70693034
2024-11-30 16:22:00,239.4,239.73,239.69,239.44,216.85214278
2024-11-30 16:23:00,239.31,239.55,239.44,239.55,783.3493693
2024-11-30 16:24:00,239.55,239.73,239.55,239.67,209.34389104
2024-11-30 16:25:00,239.44,239.67,239.66,239.5,512.49752923
2024-11-30 16:26:00,239.43,239.6,239.5,239.43,402.05845136
2024-11-30 16:27:00,239.4,239.47,239.43,239.47,208.15181859
2024-11-30 16:28:00,239.42,239.63,239.45,239.54,516.01183812
2024-11-30 16:29:00,239.4,239.61,239.55,239.41,192.07558754
2024-11-30 16:30:00,239.35,239.54,239.39,239.54,122.70221547
2024-11-30 16:31:00,239.52,239.74,239.52,239.56,334.41283572
2024-11-30 16:32:00,239.23,239.56,239.54,239.44,1035.73428553
2024-11-30 16:33:00,239.26,239.47,239.44,239.26,237.25039529
2024-11-30 16:34:00,239.27,239.53,239.28,239.49,766.78494255
2024-11-30 16:35:00,239.18,239.53,239.49,239.2,180.7008643
2024-11-30 16:36:00,239.15,239.36,239.22,239.36,341.41048217
2024-11-30 16:37:00,239.36,239.88,239.37,239.77,552.06188783
2024-11-30 16:38:00,239.74,239.99,239.74,239.98,158.17306868
2024-11-30 16:39:00,239.77,240.05,239.99,239.82,238.21786903
2024-11-30 16:40:00,239.73,239.93,239.79,239.9,393.79952219
2024-11-30 16:41:00,239.74,240.05,239.84,240.01,526.21935866
2024-11-30 16:42:00,239.87,240.07,240.02,240.07,566.96328137
2024-11-30 16:43:00,240.03,240.17,240.06,240.16,154.20776551
2024-11-30 16:44:00,240.12,240.23,240.17,240.21,199.65270817
2024-11-30 16:45:00,240.2,240.49,240.2,240.47,290.48374859
2024-11-30 16:46:00,240.15,240.45,240.45,240.33,586.0885802
2024-11-30 16:47:00,240.09,240.34,240.34,240.12,137.85405686
2024-11-30 16:48:00,240.05,240.24,240.14,240.24,259.88700142
2024-11-30 16:49:00,240.0,240.21,240.21,240.15,151.88435449
2024-11-30 16:50:00,240.08,240.27,240.15,240.08,150.81074161
2024-11-30 16:51:00,240.12,240.27,240.13,240.19,294.42686905
2024-11-30 16:52:00,240.0,240.23,240.18,240.09,1792.42846923
2024-11-30 16:53:00,239.9,240.21,240.09,240.09,877.60403849
2024-11-30 16:54:00,240.01,240.31,240.11,240.28,157.94525584
2024-11-30 16:55:00,240.28,240.62,240.29,240.62,353.83490501
2024-11-30 16:56:00,240.32,240.62,240.6,240.47,768.715185
2024-11-30 16:57:00,240.39,240.62,240.47,240.46,466.52457099
2024-11-30 16:58:00,240.12,240.4,240.39,240.14,218.43522526
2024-11-30 16:59:00,240.07,240.22,240.18,240.21,139.41978669
2024-11-30 17:00:00,240.09,240.21,240.21,240.09,450.39115197
2024-11-30 17:01:00,239.94,240.11,240.1,239.96,258.56767403
2024-11-30 17:02:00,239.79,240.08,239.97,239.82,286.91847321
2024-11-30 17:03:00,239.69,240.19,239.83,240.08,310.21990973
2024-11-30 17:04:00,239.98,240.17,240.11,240.01,183.36301601
2024-11-30 17:05:00,239.68,240.03,240.02,239.68,303.07795866
2024-11-30 17:06:00,239.58,239.76,239.7,239.68,353.80133857
2024-11-30 17:07:00,239.52,239.8,239.72,239.52,260.74488534
2024-11-30 17:08:00,239.25,239.55,239.53,239.35,315.04963271
2024-11-30 17:09:00,239.26,239.46,239.35,239.44,220.14221861
2024-11-30 17:10:00,239.28,239.48,239.45,239.38,250.8169324
2024-11-30 17:11:00,239.25,239.44,239.38,239.28,187.5681975
2024-11-30 17:12:00,239.16,239.34,239.33,239.17,316.70029692
2024-11-30 17:13:00,239.09,239.19,239.18,239.18,951.24398284
2024-11-30 17:14:00,239.08,239.19,239.15,239.12,160.67413043
2024-11-30 17:15:00,238.92,239.13,239.09,238.94,268.76451133
2024-11-30 17:16:00,238.91,239.25,238.96,239.17,644.88477102
2024-11-30 17:17:00,239.07,239.33,239.15,239.3,1367.112464
2024-11-30 17:18:00,239.24,239.49,239.28,239.49,424.97837405
2024-11-30 17:19:00,239.47,239.62,239.49,239.57,244.05139977
2024-11-30 17:20:00,239.53,239.61,239.57,239.56,118.44432638
2024-11-30 17:21:00,239.5,239.75,239.51,239.71,221.07619919
2024-11-30 17:22:00,239.62,239.76,239.71,239.68,136.83948785
