time,low,high,open,close,volume
2024-11-30 21:10:00,96874.36,96900.06,96900.0,96886.21,0.76717285
2024-11-30 16:12:00,96680.42,96742.33,96738.94,96708.07,2.57825802
2024-11-30 16:13:00,96692.96,96708.07,96708.07,96703.33,1.31168985
2024-11-30 16:14:00,96689.36,96732.25,96705.6,96690.8,1.51905696
2024-11-30 16:15:00,96607.0,96690.78,96690.77,96608.43,2.51409866
2024-11-30 16:16:00,96588.84,96631.71,96608.42,96603.72,1.11748789
2024-11-30 16:17:00,96603.71,96640.3,96603.72,96631.64,1.19449675
2024-11-30 16:18:00,96601.53,96631.64,96631.64,96631.64,1.0168136
2024-11-30 16:19:00,96620.05,96649.7,96627.56,96638.84,1.03392308
2024-11-30 16:20:00,96620.93,96686.64,96638.84,96662.27,5.37950806
2024-11-30 16:21:00,96630.03,96662.28,96662.27,96635.73,4.55196845
2024-11-30 16:22:00,96585.49,96635.75,96635.72,96592.15,1.99912862
2024-11-30 16:23:00,96584.78,96619.41,96592.15,96611.22,1.62037199
2024-11-30 16:24:00,96613.54,96662.11,96618.33,96657.18,0.73850331
2024-11-30 16:25:00,96606.01,96657.18,96657.18,96620.15,1.23775864
2024-11-30 16:26:00,96595.14,96643.36,96619.93,96595.14,4.40204614
2024-11-30 16:27:00,96580.0,96600.0,96595.15,96599.48,1.45334797
2024-11-30 16:28:00,96581.62,96628.7,96599.47,96581.63,1.07769901
2024-11-30 16:29:00,96580.0,96600.0,96581.63,96596.48,1.37340509
2024-11-30 16:30:00,96580.04,96614.25,96596.49,96612.0,0.94600391
2024-11-30 16:31:00,96598.17,96614.2,96612.01,96612.01,1.33901148
2024-11-30 16:32:00,96588.49,96612.01,96612.01,96594.64,1.44981221
2024-11-30 16:33:00,96583.07,96601.45,96594.65,96590.75,0.8256926
2024-11-30 16:34:00,96590.74,96629.19,96590.74,96629.19,1.39282978
2024-11-30 16:35:00,96558.49,96629.19,96629.19,96562.18,1.12863124
2024-11-30 16:36:00,96564.12,96606.86,96564.84,96606.85,1.40778446
2024-11-30 16:37:00,96606.84,96661.53,96606.85,96630.87,0.89582787
2024-11-30 16:38:00,96620.37,96680.74,96630.86,96657.15,1.67860602
2024-11-30 16:39:00,96581.45,96654.76,96653.69,96597.03,2.84086935
2024-11-30 16:40:00,96590.05,96655.6,96590.06,96631.49,2.43745352
2024-11-30 16:41:00,96583.25,96648.99,96624.34,96644.01,1.01543223
2024-11-30 16:42:00,96618.43,96644.01,96644.01,96632.83,1.17610676
